"anno","area","tipo","alunni"
201516,"CENTRO","IST D'ARTE","16057"
201516,"CENTRO","IST MAGISTRALE","35079"
201516,"CENTRO","IST PROFESSIONALE","95152"
201516,"CENTRO","IST TECNICO","151274"
201516,"CENTRO","LICEO ARTISTICO","8193"
201516,"CENTRO","LICEO CLASSICO","66498"
201516,"CENTRO","LICEO SCIENTIFICO","121346"
201516,"CENTRO","SCUOLA MAGISTRALE","1136"
201516,"CENTRO","SCUOLA SEC SECONDO GRADO NON STATALE","19116"
201516,"ISOLE","IST D'ARTE","6572"
201516,"ISOLE","IST MAGISTRALE","32811"
201516,"ISOLE","IST PROFESSIONALE","65739"
201516,"ISOLE","IST TECNICO","94344"
201516,"ISOLE","LICEO ARTISTICO","5369"
201516,"ISOLE","LICEO CLASSICO","34626"
201516,"ISOLE","LICEO SCIENTIFICO","67549"
201516,"ISOLE","SCUOLA SEC SECONDO GRADO NON STATALE","11274"
201516,"NORD EST","IST D'ARTE","9696"
201516,"NORD EST","IST MAGISTRALE","28533"
201516,"NORD EST","IST PROFESSIONALE","95096"
201516,"NORD EST","IST TECNICO","154714"
201516,"NORD EST","LICEO ARTISTICO","8462"
201516,"NORD EST","LICEO CLASSICO","42710"
201516,"NORD EST","LICEO SCIENTIFICO","84071"
201516,"NORD EST","SCUOLA MAGISTRALE","246"
201516,"NORD EST","SCUOLA SEC SECONDO GRADO NON STATALE","13779"
201516,"NORD OVEST","IST D'ARTE","3769"
201516,"NORD OVEST","IST MAGISTRALE","41181"
201516,"NORD OVEST","IST PROFESSIONALE","119035"
201516,"NORD OVEST","IST TECNICO","214484"
201516,"NORD OVEST","LICEO ARTISTICO","22178"
201516,"NORD OVEST","LICEO CLASSICO","42112"
201516,"NORD OVEST","LICEO SCIENTIFICO","137186"
201516,"NORD OVEST","SCUOLA SEC SECONDO GRADO NON STATALE","39337"
201516,"SUD","IST D'ARTE","11938"
201516,"SUD","IST MAGISTRALE","66933"
201516,"SUD","IST PROFESSIONALE","151658"
201516,"SUD","IST TECNICO","214359"
201516,"SUD","LICEO ARTISTICO","12047"
201516,"SUD","LICEO CLASSICO","70711"
201516,"SUD","LICEO SCIENTIFICO","178721"
201516,"SUD","SCUOLA MAGISTRALE","1378"
201516,"SUD","SCUOLA SEC SECONDO GRADO NON STATALE","25765"
201617,"CENTRO","IST D'ARTE","16369"
201617,"CENTRO","IST MAGISTRALE","35532"
201617,"CENTRO","IST PROFESSIONALE","93243"
201617,"CENTRO","IST TECNICO","150606"
201617,"CENTRO","LICEO ARTISTICO","8423"
201617,"CENTRO","LICEO CLASSICO","66702"
201617,"CENTRO","LICEO SCIENTIFICO","123503"
201617,"CENTRO","SCUOLA MAGISTRALE","1116"
201617,"CENTRO","SCUOLA SEC SECONDO GRADO NON STATALE","18495"
201617,"ISOLE","IST D'ARTE","6491"
201617,"ISOLE","IST MAGISTRALE","32595"
201617,"ISOLE","IST PROFESSIONALE","65274"
201617,"ISOLE","IST TECNICO","93535"
201617,"ISOLE","LICEO ARTISTICO","5429"
201617,"ISOLE","LICEO CLASSICO","34593"
201617,"ISOLE","LICEO SCIENTIFICO","68270"
201617,"ISOLE","SCUOLA SEC SECONDO GRADO NON STATALE","10093"
201617,"NORD EST","IST D'ARTE","10005"
201617,"NORD EST","IST MAGISTRALE","28818"
201617,"NORD EST","IST PROFESSIONALE","94068"
201617,"NORD EST","IST TECNICO","156494"
201617,"NORD EST","LICEO ARTISTICO","8646"
201617,"NORD EST","LICEO CLASSICO","43064"
201617,"NORD EST","LICEO SCIENTIFICO","85201"
201617,"NORD EST","SCUOLA MAGISTRALE","239"
201617,"NORD EST","SCUOLA SEC SECONDO GRADO NON STATALE","13540"
201617,"NORD OVEST","IST D'ARTE","3802"
201617,"NORD OVEST","IST MAGISTRALE","41811"
201617,"NORD OVEST","IST PROFESSIONALE","117550"
201617,"NORD OVEST","IST TECNICO","217435"
201617,"NORD OVEST","LICEO ARTISTICO","22579"
201617,"NORD OVEST","LICEO CLASSICO","42344"
201617,"NORD OVEST","LICEO SCIENTIFICO","139585"
201617,"NORD OVEST","SCUOLA SEC SECONDO GRADO NON STATALE","38088"
201617,"SUD","IST D'ARTE","11890"
201617,"SUD","IST MAGISTRALE","66939"
201617,"SUD","IST PROFESSIONALE","149047"
201617,"SUD","IST TECNICO","211191"
201617,"SUD","LICEO ARTISTICO","12051"
201617,"SUD","LICEO CLASSICO","69950"
201617,"SUD","LICEO SCIENTIFICO","179315"
201617,"SUD","SCUOLA MAGISTRALE","1355"
201617,"SUD","SCUOLA SEC SECONDO GRADO NON STATALE","24827"
201718,"CENTRO","IST D'ARTE","16401"
201718,"CENTRO","IST MAGISTRALE","36233"
201718,"CENTRO","IST PROFESSIONALE","90808"
201718,"CENTRO","IST TECNICO","149659"
201718,"CENTRO","LICEO ARTISTICO","8629"
201718,"CENTRO","LICEO CLASSICO","68068"
201718,"CENTRO","LICEO SCIENTIFICO","126971"
201718,"CENTRO","SCUOLA MAGISTRALE","1080"
201718,"CENTRO","SCUOLA SEC SECONDO GRADO NON STATALE","18452"
201718,"ISOLE","IST D'ARTE","6385"
201718,"ISOLE","IST MAGISTRALE","32930"
201718,"ISOLE","IST PROFESSIONALE","63169"
201718,"ISOLE","IST TECNICO","92590"
201718,"ISOLE","LICEO ARTISTICO","5689"
201718,"ISOLE","LICEO CLASSICO","35037"
201718,"ISOLE","LICEO SCIENTIFICO","69389"
201718,"ISOLE","SCUOLA SEC SECONDO GRADO NON STATALE","9512"
