"annoscolastico","ordinescuola","alunni"
201516,"SCUOLA PRIMARIA","2741636"
201617,"SCUOLA PRIMARIA","2728852"
201718,"SCUOLA PRIMARIA","2689704"
201819,"SCUOLA PRIMARIA","2650007"
201920,"SCUOLA PRIMARIA","2593546"
202021,"SCUOLA PRIMARIA","2517152"
202122,"SCUOLA PRIMARIA","2469377"
202223,"SCUOLA PRIMARIA","2419616"
201516,"SCUOLA SECONDARIA I GRADO","1692909"
201617,"SCUOLA SECONDARIA I GRADO","1688075"
201718,"SCUOLA SECONDARIA I GRADO","1689056"
201819,"SCUOLA SECONDARIA I GRADO","1682763"
201920,"SCUOLA SECONDARIA I GRADO","1685117"
202021,"SCUOLA SECONDARIA I GRADO","1662435"
202122,"SCUOLA SECONDARIA I GRADO","1649031"
202223,"SCUOLA SECONDARIA I GRADO","1624416"
201516,"SCUOLA SECONDARIA II GRADO","2622234"
201617,"SCUOLA SECONDARIA II GRADO","2620103"
201718,"SCUOLA SECONDARIA II GRADO","2621816"
201819,"SCUOLA SECONDARIA II GRADO","2625891"
201920,"SCUOLA SECONDARIA II GRADO","2627252"
202021,"SCUOLA SECONDARIA II GRADO","2668714"
202122,"SCUOLA SECONDARIA II GRADO","2664273"
202223,"SCUOLA SECONDARIA II GRADO","2650266"
